┌────────┬───────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │      name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼───────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│     42 │  POWELL20 │   5000 │   5000 │        max_time │           6.49e+09 │              1.20e+03 │           1.14e+05 │             4.84e-01 │  first_order │        6.51e+09 │           6.19e+00 │        7.70e-01 │          1.28e-06 │
│     43 │   WOMFLET │      3 │      3 │     first_order │           6.05e+00 │              0.00e+00 │           6.47e-07 │             8.24e-06 │  first_order │        6.05e+00 │           2.00e-03 │        7.94e-04 │          1.19e-04 │
│     44 │      BT11 │      5 │      3 │     first_order │           8.25e-01 │              1.00e-03 │           5.90e-06 │             3.04e-04 │  first_order │        8.25e-01 │           2.00e-03 │        6.07e-04 │          3.08e-05 │
│     45 │   SPIN2OP │    102 │    100 │     first_order │           0.00e+00 │              7.62e+01 │           3.54e-08 │             2.86e-04 │  first_order │        0.00e+00 │           4.55e-01 │        1.42e-17 │          5.37e-05 │
│     46 │    POLAK3 │     12 │     10 │     first_order │           5.93e+00 │              6.13e-01 │           4.14e-04 │             2.08e-04 │     max_iter │       -3.86e+03 │           1.43e+00 │        1.81e+07 │          1.06e+04 │
│     47 │  ORTHREGC │   5005 │   2500 │     first_order │           9.48e+01 │              2.60e+00 │           7.90e-07 │             7.17e-04 │  first_order │        9.48e+01 │           1.00e-01 │        7.00e-04 │          4.21e-04 │
│     48 │  LUKVLE17 │   9997 │   7497 │        max_time │           2.95e+04 │              1.20e+03 │           4.35e-09 │             2.41e-03 │  first_order │        3.37e+04 │           3.41e+00 │        1.00e+08 │          7.33e-04 │
│     49 │   MARATOS │      2 │      1 │     first_order │          -1.00e+00 │              0.00e+00 │           3.83e-08 │             6.11e-04 │  first_order │       -1.00e+00 │           1.00e-03 │        1.65e-04 │          1.81e-04 │
│     50 │     HS113 │     10 │      8 │     first_order │           2.43e+01 │              1.30e-02 │           5.27e-06 │             9.65e-04 │  first_order │        2.43e+01 │           3.00e-03 │        1.33e-05 │          0.00e+00 │
│     51 │  LUKVLI14 │   9998 │   6664 │        max_time │           1.56e+04 │              1.20e+03 │           4.84e+02 │             6.80e-03 │  first_order │        1.58e+04 │           3.83e-01 │        1.90e-01 │          0.00e+00 │
│     52 │       BT6 │      5 │      2 │     first_order │           5.15e+00 │              3.00e-03 │           1.61e-03 │             1.11e-04 │  first_order │        2.77e-01 │           3.00e-03 │        1.22e-05 │          6.10e-07 │
│     53 │   LISWET7 │   2002 │   2000 │     first_order │           5.00e+00 │              3.93e-01 │           1.22e-08 │             5.35e-04 │  first_order │        2.32e+02 │           3.00e-02 │        1.00e-06 │          0.00e+00 │
│     54 │  ORTHREGB │     27 │      6 │     first_order │           2.73e-19 │              3.00e-03 │           1.01e-06 │             2.44e-07 │  first_order │        1.98e-10 │           1.00e-03 │        9.90e-05 │          1.16e-04 │
│     55 │   LUKVLI4 │  10000 │   4999 │     first_order │           3.39e+04 │              1.20e+03 │           3.41e-08 │             9.81e-07 │  first_order │        3.40e+04 │           6.59e-01 │        2.64e+02 │          8.90e-06 │
│     56 │  LUKVLI11 │   9998 │   6664 │        max_time │           1.41e-04 │              1.20e+03 │           2.56e+01 │             1.23e-02 │  first_order │        4.50e-01 │           2.04e-01 │        9.86e-04 │          0.00e+00 │
│     57 │       HS6 │      2 │      1 │     first_order │           1.37e-16 │              3.00e-03 │           2.33e-05 │             2.49e-06 │  first_order │        0.00e+00 │           2.00e-03 │        0.00e+00 │          0.00e+00 │
│     58 │  GIGOMEZ3 │      3 │      3 │     first_order │           2.00e+00 │              2.00e-03 │           4.97e-09 │             1.51e-05 │  first_order │        2.00e+00 │           2.00e-03 │        4.88e-05 │          0.00e+00 │
